timestamp,command_name
2026-04-02 04:33:29,SSPA_R_RLY-3_SEL
2026-04-02 04:33:29,SSPA_R_RLY-4_SEL
2026-04-02 04:34:55,SSPA_R_DC-DC-1_ON
2026-04-02 04:34:55,SSPA_R_DC-DC-2_ON
2026-04-02 04:34:55,SSPA_R_DC-DC-3_ON
2026-04-02 04:34:55,SSPA_R_DC-DC-4_ON
2026-04-02 04:36:21,XBS-1_M_DESEL
2026-04-02 04:36:35,XBS-1_R_SEL_M_DESEL
2026-04-02 04:37:39,XBS-1_R_ON
2026-04-02 09:11:43,XBS-1_M_OFF
2026-04-02 09:11:43,XBS-1_R_OFF
2026-04-02 09:12:45,XBS-1_R_DESEL
2026-04-02 09:12:46,XBS-1_M_DESEL
2026-04-02 09:13:11,SSPA_M_DC-DC-2_OFF
2026-04-02 09:13:11,SSPA_R_DC-DC-1_OFF
2026-04-02 09:13:11,SSPA_R_DC-DC-2_OFF
2026-04-02 09:13:11,SSPA_R_DC-DC-3_OFF
2026-04-02 09:13:11,SSPA_R_DC-DC-4_OFF
2026-04-02 09:13:11,SSPA_M_DC-DC-1_OFF
2026-04-02 09:13:11,SSPA_M_DC-DC-3_OFF
2026-04-02 09:13:13,SSPA_M_DC-DC-4_OFF
2026-04-02 09:13:37,SSPA_R_RLY-1_DESEL
2026-04-02 09:13:37,SSPA_R_RLY-2_DESEL
2026-04-02 09:13:37,SSPA_R_RLY-3_DESEL
2026-04-02 09:13:39,SSPA_R_RLY-4_DESEL
2026-04-02 09:13:39,SSPA_M_RLY-1_DESEL
2026-04-02 09:13:39,SSPA_M_RLY-3_DESEL
2026-04-02 09:13:39,SSPA_M_RLY-4_DESEL
2026-04-02 09:15:21,XSW-2_POS-1_SEL
2026-04-02 09:15:43,SSPA_M_RLY-1_SEL
2026-04-02 09:15:45,SSPA_M_RLY-4_SEL
2026-04-02 09:15:45,SSPA_M_RLY-2_SEL
2026-04-02 09:15:45,SSPA_M_RLY-3_SEL
2026-04-02 09:16:27,SSPA_M_DC-DC-1_ON
2026-04-02 09:16:29,SSPA_M_DC-DC-2_ON
2026-04-02 09:16:29,SSPA_M_DC-DC-3_ON
2026-04-02 09:16:29,SSPA_M_DC-DC-4_ON
2026-04-02 09:17:02,XBS-1_R_DESEL
2026-04-02 09:17:18,XBS-1_M_SEL_R_DESEL
2026-04-02 09:17:56,XBS-1_M_ON
2026-04-02 10:06:16,XBS-1_R_OFF
2026-04-02 10:06:18,XBS-1_M_OFF
2026-04-02 10:08:32,XBS-1_R_DESEL
2026-04-02 10:08:32,XBS-1_M_DESEL
2026-04-02 10:09:35,SSPA_M_DC-DC-3_OFF
2026-04-02 10:09:35,SSPA_M_DC-DC-2_OFF
2026-04-02 10:09:35,SSPA_M_DC-DC-4_OFF
2026-04-02 10:09:35,SSPA_M_DC-DC-1_OFF
2026-04-02 10:09:35,SSPA_R_DC-DC-2_OFF
2026-04-02 10:09:35,SSPA_R_DC-DC-3_OFF
2026-04-02 10:09:35,SSPA_R_DC-DC-4_OFF
2026-04-02 10:09:35,SSPA_R_DC-DC-1_OFF
2026-04-02 10:10:22,SSPA_R_RLY-1_DESEL
2026-04-02 10:10:22,SSPA_R_RLY-2_DESEL
2026-04-02 10:10:23,SSPA_R_RLY-3_DESEL
2026-04-02 10:10:24,SSPA_M_RLY-4_DESEL
2026-04-02 10:10:24,SSPA_M_RLY-3_DESEL
2026-04-02 10:10:24,SSPA_M_RLY-2_DESEL
2026-04-02 10:10:24,SSPA_M_RLY-1_DESEL
2026-04-02 10:10:24,SSPA_R_RLY-4_DESEL
